date,CO2 (ppm),GlobalTemperature
1959-12-31,315.998,8.733
1960-12-31,316.906,8.584
1961-12-31,317.629,8.798
1962-12-31,318.455,8.746
1963-12-31,319.025,8.856
1964-12-31,319.516,8.410
1965-12-31,320.098,8.527
1966-12-31,321.325,8.599
1967-12-31,322.124,8.700
1968-12-31,323.108,8.516
1969-12-31,324.588,8.595
1970-12-31,325.644,8.701
1971-12-31,326.320,8.599
1972-12-31,327.529,8.500
1973-12-31,329.583,8.948
1974-12-31,330.303,8.467
1975-12-31,331.152,8.745
1976-12-31,332.185,8.347
1977-12-31,333.876,8.850
1978-12-31,335.519,8.693
1979-12-31,336.892,8.733
1980-12-31,338.659,8.980
1981-12-31,339.948,9.166
1982-12-31,341.088,8.639
1983-12-31,342.742,9.028
1984-12-31,344.442,8.692
1985-12-31,345.855,8.658
1986-12-31,347.132,8.834
1987-12-31,349.004,8.994
1988-12-31,351.428,9.202
1989-12-31,352.937,8.922
1990-12-31,354.197,9.234
1991-12-31,355.608,9.179
1992-12-31,356.350,8.837
1993-12-31,357.102,8.867
1994-12-31,358.857,9.039
1995-12-31,360.904,9.347
1996-12-31,362.567,9.039
1997-12-31,363.858,9.203
1998-12-31,366.564,9.523
1999-12-31,368.302,9.285
2000-12-31,369.466,9.201
2001-12-31,371.031,9.415
2002-12-31,373.078,9.570
2003-12-31,375.601,9.526
2004-12-31,377.412,9.325
2005-12-31,379.611,9.701
2006-12-31,381.752,9.533
2007-12-31,383.575,9.732
2008-12-31,385.437,9.432
2009-12-31,387.427,9.505
2010-12-31,389.814,9.703
2011-12-31,391.656,9.516
2012-12-31,393.908,9.507
2013-12-31,396.515,9.607
2014-12-31,398.608,9.571
2015-12-31,400.946,9.831
