YEAR,STATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2000,AMH307_Amherst,3.04,3.39,3.96,4.25,4.52,9.03,5.99,5.33,3.27,2.63,2.25,4.41
2003,AMH307_Amherst,3.02,8.18,4.89,3.78,4.86,6.16,2.89,6.82,10.35,5.42,3.65,4.92
2004,AMH307_Amherst,1.5,1.6,2.15,6.8,4.87,2.04,3.74,3.41,9.89,2.5,3.64,3.64
2005,AMH307_Amherst,4.45,3.82,5.52,5.02,2.65,6.73,4.76,4.6,2.22,18.7,5.22,3.21
2007,AMH307_Amherst,5.86,1.07,3.95,6.2,1.73,2.57,4.56,1.33,2.6,4.05,2.71,3.74
2008,AMH307_Amherst,1.58,8.34,4.97,2.32,2.21,5.76,11.55,3.85,9.98,3.32,3.49,4.85
2009,AMH307_Amherst,2.47,1.27,2.16,3.18,5.39,7.77,11.19,3.54,1.45,6.12,5.05,4.37
2010,AMH307_Amherst,2.4,3.9,7.07,0.95,2.56,4.15,2.46,4.68,4.38,6.4,4.33,1.94
2011,AMH307_Amherst,2.79,3.61,3.07,5.51,4.72,7.43,1.54,8.23,5.66,4.95,2.46,2.77
1992,ASFNWS_Ashfield,2.87,2.29,5.24,3.31,2.14,7.12,4.4,5.2,2.76,2.89,5.03,4.64
1993,ASFNWS_Ashfield,2.62,3.82,10.06,6.71,0.75,2.44,4.33,2.15,3.52,3.09,5.66,5.31
1994,ASFNWS_Ashfield,5.31,2.82,6.06,3.2,5.15,2.27,5.11,5.03,5.76,1.09,4.02,5.06
1997,ASFNWS_Ashfield,3.27,2.82,4.13,5.94,4.51,0.86,3.88,5.59,3.05,2.59,8.38,4.04
1998,ASFNWS_Ashfield,5.24,3.35,1.94,3.01,9.11,8.8,2.29,1.75,1.79,4.52,2.44,1.88
1999,ASFNWS_Ashfield,7.0,2.06,6.93,1.27,5.44,2.2,3.69,3.07,11.78,3.64,3.75,2.03
2000,ASFNWS_Ashfield,3.56,2.34,4.25,5.1,4.87,8.43,7.01,4.34,4.36,2.06,2.57,4.27
2001,ASFNWS_Ashfield,1.88,3.21,6.04,1.78,3.52,5.82,3.43,2.22,6.33,0.76,1.53,2.21
1931,BAR416_South Barre,1.93,2.14,3.99,2.04,5.04,3.99,3.36,8.03,2.61,2.91,1.37,3.14
1932,BAR416_South Barre,4.6,1.72,3.98,1.71,1.68,1.81,4.77,3.82,5.22,6.47,3.57,1.84
1933,BAR416_South Barre,1.85,3.41,3.89,4.65,2.11,1.98,2.57,4.89,9.31,4.9,0.99,1.71
1934,BAR416_South Barre,3.03,3.57,2.19,3.87,4.0,4.81,3.43,2.92,9.43,2.07,1.59,4.98
1935,BAR416_South Barre,4.72,2.99,2.22,2.74,3.08,5.4,3.74,1.1,4.53,1.11,2.7,1.32
1936,BAR416_South Barre,6.64,4.25,9.35,3.73,3.52,4.39,2.26,4.79,5.12,3.1,1.78,7.33
1937,BAR416_South Barre,5.33,2.32,3.04,4.17,4.28,4.91,2.26,5.73,3.78,3.58,5.84,2.84
1938,BAR416_South Barre,3.97,2.37,2.31,3.15,3.7,8.99,8.62,3.08,16.13,2.25,3.65,3.01
1939,BAR416_South Barre,1.94,3.15,3.21,3.62,2.19,2.96,1.35,3.7,2.1,4.56,0.91,3.37
1940,BAR416_South Barre,2.16,3.49,4.3,5.61,5.44,2.17,3.51,1.36,1.8,1.15,6.25,2.67
1941,BAR416_South Barre,2.55,2.14,1.82,0.49,2.62,3.19,5.38,2.47,0.93,2.0,2.77,3.03
1942,BAR416_South Barre,3.77,2.56,5.72,1.04,4.58,4.78,5.94,2.2,3.26,3.46,4.65,5.0
1943,BAR416_South Barre,3.13,1.48,3.32,3.95,5.14,1.55,3.8,2.46,1.08,6.0,6.21,0.57
