Title,Year,EID,Abstract,Publisher,Conference name,Conference date,Authors,Author(s) ID,Authors with affiliations,Source title,Abbreviated Source Title,Cited by
Virtual reality applications for the built environment: Research trends and opportunities,2020,2-s2.0-85086464158,"With its advanced capabilities of immersive and interactive visualization, virtual reality (VR) has been advocated to facilitate design, engineering, construction, and management for the built environment. Substantial efforts have thus been devoted to VR-related applications in the architecture, engineering, and construction (AEC) industry over the last decades, resulting in a vast, diverse, and fragmented body of knowledge. The objective of this research is to systematically gain an in-depth understanding of research trends as well as reveal challenges and opportunities for future research in the area. To achieve this objective, this research explores the state-of-the-art in VR applications for the built environment by a mixed quantitative-qualitative review method. A total of 229 journal articles are collected using a structured data acquisition approach from Scopus and then fed into a bibliometric analysis to construct science maps. By doing so, the main research outlets, articles, and themes of this research field are quantitatively identified. Subsequently, an in-depth qualitative discussion is presented to provide deeper insights into the challenges and opportunities of main research topics. Furthermore, future research directions are proposed as follows: 1) user-centered adaptive design, 2) attention-driven virtual reality information systems, 3) construction training systems incorporating human factors, 4) occupant-centered facility management, and 5) industry adoption. This research contributes to the body of knowledge by synthesizing the state of the art of VR technology for the built environment and exposing its research needs, which can serve both academia and industry in terms of promoting VR applications for the built environment. © 2020 Elsevier B.V.",Elsevier B.V.,,,"Zhang Y., Liu H., Kang S.-C., Al-Hussein M.",57202536919;53984550800;57215426514;6603541102;,"Zhang, Y., Department of Civil and Environmental Engineering, University of Alberta, Edmonton, AB  T6G 1H9, Canada; Liu, H., Department of Civil and Construction Engineering, Western Michigan University, Kalamazoo, MI  49008-5316, United States; Kang, S.-C., Department of Civil and Environmental Engineering, University of Alberta, Edmonton, AB  T6G 1H9, Canada; Al-Hussein, M., Department of Civil and Environmental Engineering, University of Alberta, Edmonton, AB  T6G 1H9, Canada",Automation in Construction,Autom Constr,
"Self-tracking while doing sport: Comfort, motivation, attention and lifestyle of athletes using personal informatics tools",2020,2-s2.0-85082875828,"The spread of wearable technologies is paving the way for the mass-scale adoption of self-tracking instruments, which are progressively integrating into different social practices. Among these, sport seems to be a promising domain in which Personal Informatics tools can support individuals in performing their activities and in achieving their situated goals. In this article, we conducted semi-structured interviews with amateur and elite athletes to explore what they seek in their trackers, how such instruments may impact on their “mind”, by affecting their motivation and attention during workouts and races, and how sports data are intertwined with other information pertaining to their lifestyle. On the basis of these findings we discussed three themes that may be relevant for Personal Informatics, also proposing a series of implications for design that may help researchers in designing self-tracking tools for sport. © 2020 Elsevier Ltd",Academic Press,,,"Rapp A., Tirabeni L.",23398572100;57191836654;,"Rapp, A., Computer Science Department, University of Torino, C.so Svizzera, 185, Torino, 10149, Italy; Tirabeni, L., Department of Cultures, Politics and Society, University of Torino, Torino, Italy",International Journal of Human Computer Studies,Int J Hum Comput Stud,
"Bridge damage: Detection, IFC-based semantic enrichment and visualization",2020,2-s2.0-85078194587,"Building Information Modeling (BIM) representations of bridges enriched by inspection data will add tremendous value to future Bridge Management Systems (BMSs). This paper presents an approach for point cloud-based detection of spalling damage, as well as integrating damage components into a BIM via semantic enrichment of an as-built Industry Foundation Classes (IFC) model. An approach for generating the as-built BIM, geometric reconstruction of detected damage point clusters and semantic-enrichment of the corresponding IFC model is presented. Multiview-classification is used and evaluated for the detection of spalling damage features. The semantic enrichment of as-built IFC models is based on injecting classified and reconstructed damage clusters back into the as-built IFC, thus generating an accurate as-is IFC model compliant to the BMS inspection requirements. © 2020 Elsevier B.V.",Elsevier B.V.,,,"Isailović D., Stojanovic V., Trapp M., Richter R., Hajdin R., Döllner J.",57205293410;56421700900;24831175200;36195159400;6507346536;6602981892;,"Isailović, D., Department for Construction Project Management, Faculty of Civil Engineering, University of Belgrade, Bul. kralja Aleksandra 73, Belgrade, 11120, Serbia; Stojanovic, V., Hasso Plattner Institute, Faculty of Digital Engineering, Computer Graphics Systems Group, University of Potsdam, Prof.-Dr.-Helmert-Strasse 2-3, Potsdam, 14482, Germany; Trapp, M., Hasso Plattner Institute, Faculty of Digital Engineering, Computer Graphics Systems Group, University of Potsdam, Prof.-Dr.-Helmert-Strasse 2-3, Potsdam, 14482, Germany; Richter, R., Hasso Plattner Institute, Faculty of Digital Engineering, Computer Graphics Systems Group, University of Potsdam, Prof.-Dr.-Helmert-Strasse 2-3, Potsdam, 14482, Germany; Hajdin, R., Department for Construction Project Management, Faculty of Civil Engineering, University of Belgrade, Bul. kralja Aleksandra 73, Belgrade, 11120, Serbia; Döllner, J., Hasso Plattner Institute, Faculty of Digital Engineering, Computer Graphics Systems Group, University of Potsdam, Prof.-Dr.-Helmert-Strasse 2-3, Potsdam, 14482, Germany",Automation in Construction,Autom Constr,
VR system for spatio-temporal visualization of tweet data and support of map exploration,2019,2-s2.0-85075706132,"Social media analysis is helpful to understand the behavior of people. Human behavior in social media is related to time and location, which is often difficult to find the characteristics appropriately and quickly. We chose to apply virtual reality (VR) technologies to present the spatio-temporal social media data. This makes us easier to develop interactive and intuitive user interfaces and explore the data as we want. This paper proposes a VR system featuring two visualization techniques. One of the techniques is a three-dimensional temporal visualization of tweets of microblogs with location information. It consists of the two-dimensional map and a time axis. In particular, we aggregate the number of tweets of each coordinate and time step and depict them as piled cubes. We highlight only specific cubes so that users can understand the overall tendency of datasets. The other technique provides a route recommendation based on tweets of microblogs. Our technique supports users to explore attractive events and places by selecting effective tweets and suggesting routes. We also developed user interfaces for operating these objects in a VR space which indicate details of tweets. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.",Springer,,,"Okada K., Yoshida M., Itoh T., Czauderna T., Stephens K.",57201502480;57171240600;35373203100;25925695500;57200282319;,"Okada, K., Ochanomizu University, Tokyo, Japan; Yoshida, M., Toyohashi University of Technology, Aichi, Japan; Itoh, T., Ochanomizu University, Tokyo, Japan; Czauderna, T., Monash University, Clayton, Australia; Stephens, K., Monash University, Clayton, Australia",Multimedia Tools and Applications,Multimedia Tools Appl,
DiseaSE: A biomedical text analytics system for disease symptom extraction and characterization,2019,2-s2.0-85074886243,"Due to increasing volume and unstructured nature of the scientific literatures in biomedical domain, most of the information embedded within them remain untapped. This paper presents a biomedical text analytics system, DiseaSE (Disease Symptom Extraction), to identify and extract disease symptoms and their associations from biomedical text documents retrieved from the PubMed database. It implements various NLP and information extraction techniques to convert text documents into record-size information components that are represented as semantic triples and processed using TextRank and other ranking techniques to identify feasible disease symptoms. Eight different diseases, including dengue, malaria, cholera, diarrhoea, influenza, meningitis, leishmaniasis, and kala-azar are considered for experimental evaluation of the proposed DiseaSE system. On analysis, we found that the DiseaSE system is able to identify new symptoms that are even not catalogued on standard websites such as Center for Disease Control (CDC), World Health Organization (WHO), and National Health Survey (NHS). The proposed DiseaSE system also aims to compile generic associations between a disease and its symptoms, and presents a graph-theoretic analysis and visualization scheme to characterize disease at different levels of granularity. The identified disease symptoms and their associations could be useful to generate a biomedical knowledgebase (e.g., a disease ontology) for the development of e-health and disease surveillance systems. © 2019 Elsevier Inc.",Academic Press Inc.,,,"Abulaish M., Parwez M.A., Jahiruddin",6505934038;57202719622;35590173900;,"Abulaish, M., Department of Computer Science, South Asian University, Delhi, India; Parwez, M.A., Department of Computer Science, Jamia Millia Islamia, Delhi, India; Jahiruddin, Department of Computer Science, Jamia Millia Islamia, Delhi, India",Journal of Biomedical Informatics,J. Biomed. Informatics,
Remote interactive collaboration in facilities management using BIM-based mixed reality,2019,2-s2.0-85071686342,"Facilities Management (FM) day-to-day tasks require suitable methods to facilitate work orders and improve performance by better collaboration between the office and the field. Building Information Modeling (BIM) provides opportunities to support collaboration and to improve the efficiency of Computerized Maintenance Management Systems (CMMSs) by sharing building information between different applications/users throughout the lifecycle of the facility. However, manual retrieval of building element information can be challenging and time consuming for field workers during FM operations. Mixed Reality (MR) is a visualization technique that can be used to improve visual perception of the facility by superimposing 3D virtual objects and textual information on top of the view of real-world building objects. This paper discusses the development of a collaborative BIM-based MR approach to support facilities field tasks. The proposed framework integrates multisource facilities information, BIM models, and feature-based tracking in an MR-based setting to retrieve information based on time (e.g. inspection schedule) and the location of the field worker, visualize inspection and maintenance operations, and support remote collaboration and visual communication between the field worker and the manager at the office. The field worker uses an Augmented Reality (AR) application installed on his/her tablet. The manager at the office uses an Immersive Augmented Virtuality (IAV) application installed on a desktop computer. Based on the field worker location, as well as the inspection or maintenance schedule, the field worker is given work orders and instructions from the office. Other sensory data (e.g., infrared thermography) can provide additional layers of information by augmenting the actual view of the field worker and supporting him/her in making effective decisions about existing and potential problems while communicating with the office in an Interactive Virtual Collaboration (IVC) mode. Finally, to investigate the applicability of the proposed method, a prototype system is developed and tested in a case study. © 2019",Elsevier B.V.,,,"El Ammari K., Hammad A.",14628356000;7006162997;,"El Ammari, K., Department of Building, Civil and Environmental Engineering, Concordia University, Canada; Hammad, A., Concordia Institute for Information Systems Engineering, Concordia University, Canada",Automation in Construction,Autom Constr,4.0
Research on the emergency management pattern and adjustment system for urban waterlogging,2019,2-s2.0-85077803554,"Urban waterlogging events have become more frequent in big cities, causing a considerable economic loss and casualties. Waterlogging disasters exert increasingly severe influences on cities, which has become a research hotspot under changing environment. In view of that problem of insufficient information in the waterlogging emergency management, it is necessary to build emergency management pattern to adapt to the changing environment of urban waterlogging and design support emergency management pattern implementation of adjustment system. Through the process of ""pre-event, in-event and after-event"", a set of emergency pattern is designed to face the urban waterlogging event, which ensures that the management personnel could grasp the state of the occurrence of the event at each stage of the event and take countermeasures for the occurrence of the event quickly. The digitalization and visualization of urban waterlogging emergency management can be realized by using customized components, drawing knowledge map and designing adjustment system. According to the urban waterlogging emergency management pattern, the Beijing emergency plan component and the component based on similar historical case analysis are customized, and the functions of the components are realized through the integrated adjustment system. The application shows that emergency management adjustment system of urban waterlogging can realize the quick use of information, offer users customized waterlogging emergency management services, and provide the management with the support of effective emergency management decision. The results can provide conceptual and technical support for urban emergency management. It can also improve the timeliness of urban response and the level of urban flood control. © Published under licence by IOP Publishing Ltd.",Institute of Physics Publishing,"5th International Conference on Water Resource and Environment, WRE 2019",16 July 2019 through 19 July 2019,"Yang S.Y., Jiang R.G., Xie J.C., Yu X., Liang J.C., Lian Y.N.",57204951915;36656019700;8399981200;57196119394;57204952424;57213421778;,"Yang, S.Y., State Key Laboratory of Eco-hydraulics in Northwest Arid Region of China, Xi'An University of Technology, Xi'an, 710048, China; Jiang, R.G., State Key Laboratory of Eco-hydraulics in Northwest Arid Region of China, Xi'An University of Technology, Xi'an, 710048, China; Xie, J.C., State Key Laboratory of Eco-hydraulics in Northwest Arid Region of China, Xi'An University of Technology, Xi'an, 710048, China; Yu, X., State Key Laboratory of Eco-hydraulics in Northwest Arid Region of China, Xi'An University of Technology, Xi'an, 710048, China; Liang, J.C., State Key Laboratory of Eco-hydraulics in Northwest Arid Region of China, Xi'An University of Technology, Xi'an, 710048, China; Lian, Y.N., State Key Laboratory of Eco-hydraulics in Northwest Arid Region of China, Xi'An University of Technology, Xi'an, 710048, China",IOP Conference Series: Earth and Environmental Science,IOP Conf. Ser. Earth Environ. Sci.,1.0
Web-based decision support system tools: The Soil and Water Assessment Tool Online visualization and analyses (SWATOnline) and NASA earth observation data downloading and reformatting tool (NASAaccess),2019,2-s2.0-85070952871,"The current influx of climate related information required scientists to communicate their findings to decision makers in governments, disaster preparedness organizations, and the general public. The Soil and Water Assessment Tool (SWAT) is a powerful modelling tool that allows scientists to simulate many of the physical processes involved in the water cycle. This article presents the design, methods and development efforts to overcome some of the limitations of the previously developed SWAT visualization software programs by creating a set of modular web applications that can be duplicated, customized, and run. Moreover, this article features a web application development tool for climate data retrieval. The NASAaccess fetches, extracts and reformats climate data from the National Aeronautics and Space Administration servers and outputs data compatible with hydrological models. This work has the potential to increase the SWAT's model impact on non-technically trained stakeholders and decision makers charged with water and climate management. © 2019 The Authors",Elsevier Ltd,,,"McDonald S., Mohammed I.N., Bolten J.D., Pulla S., Meechaiya C., Markert A., Nelson E.J., Srinivasan R., Lakshmi V.",57210571032;36995837100;6603639150;57208132039;57193809880;57208123780;7402264252;7401951879;57202410843;,"McDonald, S., Brigham Young University, Civil and Environmental Engineering Department, Provo, UT  84602, United States; Mohammed, I.N., Science Applications International Corporation, NASA Goddard Space Flight Center, Hydrological Sciences Laboratory, Mail Code 617.0, Greenbelt, MD  20771, United States; Bolten, J.D., NASA Goddard Space Flight Center, Hydrological Sciences Laboratory, Code 617.0, Greenbelt, MD  20771, United States; Pulla, S., SERVIR Science Coordination Office, NASA Marshall Space Flight Center, Huntsville, AL  35805, United States; Meechaiya, C., Asian Disaster Preparedness Center, Bangkok, 10400, Thailand; Markert, A., The University of Alabama in Huntsville, Earth System Science Center, Huntsville, AL  35805, United States; Nelson, E.J., Brigham Young University, Civil and Environmental Engineering Department, Provo, UT  84602, United States; Srinivasan, R., Texas A&M University, Department of Ecosystem Science and Management, College Station, TX  77843, United States; Lakshmi, V., University of Virginia, Department of Engineering Systems and Environment, Charlottesville, VA  22904, United States",Environmental Modelling and Software,Environ. Model. Softw.,3.0
Development of methods and tools to support regional management in the Arctic zone of the Russian Federation based on cognitive interfaces,2019,2-s2.0-85071875225,"This article discusses the creation of methods and tools for decision-making information support for regional management systems in the context of ensuring environmental and technological security in the Arctic region. To implement information support for regional management, we propose to use information technology for spatial data visualization. This technology is used to synthesize cognitive interfaces of multi-subject information systems supporting regional management in the Arctic zone of the Russian Federation. The article describes the methodological support, composition and structure of information technology to identify implicit conflicts of environmental management based on the use of methods of conceptual and ontological modeling of the subject area, system analysis and theory of management of complex systems. The key elements of the technology are the conceptual model of the conflict situation of environmental management, the ontology of the subject area, the knowledge base and the cognitive user interface of the multi-subject information regional management support system for the Arctic territories. A brief classification of conflicts among the stakeholders of the Arctic region (using the example of the Murmansk region) is also described. The proposed technology allows to identify potential conflicts of environmental management, including the detection and identification of environmental and technological safety problems in the Arctic regions of the Russian Federation. © Published under licence by IOP Publishing Ltd.",Institute of Physics Publishing,4th International Scientific Conference on Arctic: History and Modernity,17 April 2019 through 18 April 2019,Vicentiy A.V.,57189029589;,"Vicentiy, A.V., Institute for Informatics and Mathematical Modeling, Subdivision of the Federal Research Centre, Kola Science Centre, Russian Academy of Science, Apatity, Russian Federation, Apatity Branch of Murmansk Arctic State University, Apatity, Russian Federation",IOP Conference Series: Earth and Environmental Science,IOP Conf. Ser. Earth Environ. Sci.,
Analysis of server-side and client-side Web-GIS data processing methods on the example of JTS and JSTS using open data from OSM and geoportal,2019,2-s2.0-85066064473,"The last decade has seen a rapid evolution of processing, analysis and visualization of freely available geographic data using Open Source Web-GIS. In the beginning, Web-based Geographic Information Systems employed a thick-client approach which required installation of platform-specific browser plugins. Later on, research focus shifted to platform-independent thin client solutions in which data processing and analysis was performed by the server machine. More recently, however, the rapid development of computer hardware as well as software technologies such has HTML5 has enabled the creation of platform-independent thick clients which offer advanced GIS functionalities such as geoprocessing. This article aims to analyse the current state of Open Source technologies and publicly available geographic data sources in the context of creating cost-effective Web-GIS applications for integration and processing of spatial data. For this purpose the article discusses the availability and potential of Web-GIS architectures, software libraries and data sources. The analysis of freely available data sources includes a discussion of the quality and accuracy of crowd-sourced as well as public sector data, while the investigation of software libraries and architectures involves a comparison of server-side and client-side data processing performance under a set of real-world scenarios. The article concludes with a discussion of the choice of cost-effective Web-GIS architectures, software libraries and data sources in the context of the institution and environment of system deployment. © 2019 Elsevier Ltd",Elsevier Ltd,,,"Kulawiak M., Dawidowicz A., Pacholczyk M.E.",57202995868;56142103500;57204058927;,"Kulawiak, M., Department of Geoinformatics, Faculty of Electronics, Telecommunication and Informatics, Gdansk University of Technology, Poland; Dawidowicz, A., Institute of Geography and Land Management, Faculty of Geodesy, Geospatial and Civil Engineering, University of Warmia and Mazury in Olsztyn, Poland; Pacholczyk, M.E., Institute of Geography and Land Management, Faculty of Geodesy, Geospatial and Civil Engineering, University of Warmia and Mazury in Olsztyn, Poland",Computers and Geosciences,Comput. Geosci.,5.0
