Destination,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,Puerto Rico,U.S. Island Area,Foreign Country
Alabama,0,"1,105",904,813,"3,690","2,042",705,0,248,"15,519","13,993",668,0,"1,962","3,451",722,"1,212","1,500","3,789",140,808,"1,452","1,893",41,"4,377",864,151,386,771,176,599,53,"1,996","3,597",17,"2,364",541,245,"2,336",257,"2,448",0,"9,970","8,405","2,083",0,"2,876","1,883",421,"1,307",0,"12,189",338,103,"11,748"
Alaska,260,0,886,12,"2,547",685,153,224,69,"2,473",743,217,"1,644",952,0,143,"1,296","1,017",529,77,339,515,310,417,86,890,113,1,986,0,0,878,329,"2,557",187,29,359,750,385,0,448,280,301,"4,332","1,092",44,"2,216","1,435",355,228,242,"4,295",37,17,"4,241"
Arizona,"1,750","1,561",0,"1,022","59,713","14,684",895,653,239,"7,358","3,947","4,942","2,961","10,915","3,156","2,982","3,742",383,"1,650",218,"1,905","2,745","7,914","5,868",393,"2,248","1,636","2,307","7,514",392,"3,221","7,251","6,079","4,038","1,012","5,178","2,042","6,979","4,906",227,304,989,"2,253","17,482","8,917",662,"3,837","17,636",237,"3,688",664,"46,614",970,152,"45,492"
Arkansas,636,98,692,0,"4,967","1,585",87,0,295,"2,118","1,352",118,157,"1,308",438,674,"1,139",265,"4,089",39,535,97,820,"1,142","1,867","4,368",74,380,962,0,420,0,642,369,39,569,"5,826",501,533,0,443,0,"3,237","12,851",710,0,671,571,133,797,"1,109","8,125",302,0,"7,823"
California,"3,310","5,064","28,226","3,104",0,"15,085","4,067","1,630","3,075","22,692","14,496","11,985","4,372","24,085","4,923","1,956","2,941","2,606","5,347","2,335","11,775","16,158","6,406","8,951","2,354","7,638","1,974","2,587","26,433",709,"10,812","3,418","37,567","13,863",710,"9,098","3,747","17,265","12,578","2,839","5,803","1,345","5,863","37,063","8,504",784,"24,506","31,882",303,"4,811","1,159","266,485","1,780","2,887","261,818"
Colorado,"3,422",862,"10,616","1,022","29,350",0,942,0,259,"14,124","6,985","2,782",798,"10,153","3,114","2,589","6,544","1,455","3,901",900,"3,555","6,053","3,101","5,523",554,"4,801","1,984","4,861","3,888",196,"3,677","4,895","7,965","4,930","2,084","4,432","4,412","3,619","3,362",820,"1,081","1,581","5,549","32,295","2,458",161,"6,796","7,333",502,"4,454","3,860","28,923",642,83,"28,198"
Connecticut,248,220,441,0,"4,049","1,165",0,45,313,"7,501","1,266",912,0,"1,389",309,165,94,135,764,743,"1,720","13,020","1,091",676,0,212,0,189,174,741,"5,297",0,"27,606","2,640",0,"1,369",199,523,"3,711","3,788",910,539,921,"2,141",120,103,"1,764",191,408,232,0,"29,118","4,280",0,"24,838"
Delaware,0,294,0,0,161,530,415,0,442,939,344,0,0,562,0,0,189,0,41,0,"8,646",548,0,0,26,37,29,262,149,78,"6,955",177,"3,044","1,167",0,34,"1,025",0,"8,902",258,8,0,409,744,75,0,"1,260",45,219,0,0,"4,234",0,0,"4,234"
District of Columbia ,462,338,291,0,"3,437",870,"1,298",0,0,"1,496","1,190",0,28,"1,361",427,59,41,131,452,448,"15,499","2,383",758,278,265,976,4,49,0,49,"2,758",466,"4,314","1,481",0,755,185,172,"1,718",138,568,250,991,"2,073",0,54,"8,828",852,324,362,0,"9,986",213,0,"9,773"
Florida,"15,153","4,906","7,054","3,544","28,628","13,656","13,227","3,083","2,705",0,"49,681","4,103","1,032","24,425","18,175","3,669","1,813","10,545","8,606","4,812","14,831","17,056","21,668","6,239","4,572","11,326",591,"1,948","3,674","3,529","28,222","2,349","57,488","28,207","1,230","30,335","6,488","4,309","34,965","2,685","9,909","1,364","14,573","26,174","3,433","3,355","26,031","6,870","2,186","6,563",624,"203,405","14,657","2,422","186,326"
